"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Create course","LMS service","Sat Sep 13 17:09:00 GMT 2025","passed","Sat Sep 13 17:09:00 GMT 2025","Create entity","Courses","",""
"","16","Get file","LMS service","Sat Sep 13 17:09:05 GMT 2025","passed","Sat Sep 13 17:09:05 GMT 2025","Get entity","Files","",""
"","297","Delete file","LMS service","Sat Sep 13 17:09:07 GMT 2025","passed","Sat Sep 13 17:09:07 GMT 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Sat Sep 13 17:09:08 GMT 2025","passed","Sat Sep 13 17:09:08 GMT 2025","Get entity","Users","",""
"","545","Login with correct email and password","LMS service","Sat Sep 13 17:08:58 GMT 2025","passed","Sat Sep 13 17:08:59 GMT 2025","Login","Authentication","",""
"","525","Create new user","LMS service","Sat Sep 13 17:09:07 GMT 2025","passed","Sat Sep 13 17:09:08 GMT 2025","Create entity","Users","",""
"","269","Create file","LMS service","Sat Sep 13 17:09:04 GMT 2025","passed","Sat Sep 13 17:09:04 GMT 2025","Create entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Sat Sep 13 17:09:07 GMT 2025","passed","Sat Sep 13 17:09:07 GMT 2025","Validate entity","Files","",""
"","304","Update course","LMS service","Sat Sep 13 17:09:00 GMT 2025","passed","Sat Sep 13 17:09:01 GMT 2025","Update entity","Courses","",""
"","273","Create file with empty filename","LMS service","Sat Sep 13 17:09:05 GMT 2025","passed","Sat Sep 13 17:09:05 GMT 2025","Validate entity","Files","",""
"","293","Create exercise","LMS service","Sat Sep 13 17:09:01 GMT 2025","passed","Sat Sep 13 17:09:01 GMT 2025","Create entity","Exercises","",""
"","566","Create new user","LMS service","Sat Sep 13 17:09:07 GMT 2025","passed","Sat Sep 13 17:09:08 GMT 2025","Create entity","Users","",""
"","289","Get exercises","LMS service","Sat Sep 13 17:09:03 GMT 2025","passed","Sat Sep 13 17:09:04 GMT 2025","Get entities","Exercises","",""
"","302","Get courses","LMS service","Sat Sep 13 17:08:59 GMT 2025","passed","Sat Sep 13 17:08:59 GMT 2025","Get entities","Courses","",""
"","25","Delete exercise","LMS service","Sat Sep 13 17:09:03 GMT 2025","passed","Sat Sep 13 17:09:03 GMT 2025","Delete entity","Exercises","",""
"","328","Get exercise","LMS service","Sat Sep 13 17:09:02 GMT 2025","passed","Sat Sep 13 17:09:02 GMT 2025","Get entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Sat Sep 13 17:09:06 GMT 2025","passed","Sat Sep 13 17:09:06 GMT 2025","Validate entity","Files","",""
"","21","Update exercise","LMS service","Sat Sep 13 17:09:02 GMT 2025","passed","Sat Sep 13 17:09:02 GMT 2025","Update entity","Exercises","",""
"","295","Create new user","LMS service","Sat Sep 13 17:09:07 GMT 2025","passed","Sat Sep 13 17:09:07 GMT 2025","Create entity","Users","",""
